country,educational_attainment_level,per cent,fertility_rate
Peru,Tertiary education,39.27672195,1.965
Peru,Below upper secondary education,60.72327805,1.965
Luxembourg,Upper secondary or post-secondary non-tertiary education,28.00396919,1.25
Luxembourg,Below upper secondary education,17.64216995,1.25
Luxembourg,Tertiary education,54.35386276,1.25
Slovenia,Upper secondary or post-secondary non-tertiary education,54.37464523,1.52
Slovenia,Tertiary education,34.63747787,1.52
Slovenia,Below upper secondary education,10.98787498,1.52
Latvia,Tertiary education,40.45660782,1.24
Latvia,Below upper secondary education,10.6648674,1.24
Latvia,Upper secondary or post-secondary non-tertiary education,48.87852478,1.24
Costa Rica,Tertiary education,27.79136276,1.318
Costa Rica,Upper secondary or post-secondary non-tertiary education,20.53909683,1.318
Costa Rica,Below upper secondary education,51.66954041,1.318
Iceland,Upper secondary or post-secondary non-tertiary education,35.10569,1.56
Iceland,Below upper secondary education,20.43259621,1.56
Iceland,Tertiary education,44.46171188,1.56
Greece,Tertiary education,35.29206467,1.24
Greece,Below upper secondary education,18.05560875,1.24
Greece,Upper secondary or post-secondary non-tertiary education,46.65232468,1.24
Argentina,Tertiary education,23.67523003,1.504
Argentina,Below upper secondary education,32.17717361,1.504
Argentina,Upper secondary or post-secondary non-tertiary education,43.56904221,1.504
Romania,Tertiary education,19.2030201,1.39
Romania,Upper secondary or post-secondary non-tertiary education,56.16442871,1.39
Romania,Below upper secondary education,24.6325531,1.39
Hungary,Upper secondary or post-secondary non-tertiary education,56.99958801,1.41
Hungary,Tertiary education,31.10090256,1.41
Hungary,Below upper secondary education,11.89951134,1.41
South Africa,Tertiary education,8.98544693,2.205
South Africa,Below upper secondary education,49.26618576,2.205
South Africa,Upper secondary or post-secondary non-tertiary education,41.74836731,2.205
Finland,Tertiary education,42.71569824,1.25
Finland,Below upper secondary education,10.89108944,1.25
Finland,Upper secondary or post-secondary non-tertiary education,46.39321136,1.25
Austria,Tertiary education,37.73565674,1.31
Austria,Below upper secondary education,13.07517338,1.31
Austria,Upper secondary or post-secondary non-tertiary education,49.18916702,1.31
Germany,Upper secondary or post-secondary non-tertiary education,49.8564949,1.36
Germany,Below upper secondary education,15.87774467,1.36
Germany,Tertiary education,34.26576233,1.36
Switzerland,Upper secondary or post-secondary non-tertiary education,39.73619843,1.29
Switzerland,Tertiary education,46.45741653,1.29
Switzerland,Below upper secondary education,13.80638313,1.29
Estonia,Upper secondary or post-secondary non-tertiary education,47.9293251,1.18
Estonia,Tertiary education,42.54973221,1.18
Estonia,Below upper secondary education,9.520944595,1.18
Slovak Republic,Tertiary education,29.03724861,1.46
Slovak Republic,Below upper secondary education,6.264955521,1.46
Slovak Republic,Upper secondary or post-secondary non-tertiary education,64.69779205,1.46
United States,Upper secondary or post-secondary non-tertiary education,41.29410934,1.6265
United States,Below upper secondary education,7.999895573,1.6265
United States,Tertiary education,50.70599365,1.6265
Belgium,Tertiary education,45.03292084,1.44
Belgium,Below upper secondary education,17.19539642,1.44
Belgium,Upper secondary or post-secondary non-tertiary education,37.77168274,1.44
Canada,Upper secondary or post-secondary non-tertiary education,28.89998055,1.25
Canada,Tertiary education,64.6622467,1.25
Canada,Below upper secondary education,6.437768459,1.25
Chile,Upper secondary or post-secondary non-tertiary education,42.07429123,1.14
Chile,Tertiary education,32.91432571,1.14
Chile,Below upper secondary education,25.01138496,1.14
New Zealand,Upper secondary or post-secondary non-tertiary education,39.18001938,1.57
New Zealand,Below upper secondary education,16.85797119,1.57
New Zealand,Tertiary education,43.96200943,1.57
Israel,Below upper secondary education,12.29685116,2.87
Israel,Tertiary education,50.53918839,2.87
Israel,Upper secondary or post-secondary non-tertiary education,37.1639595,2.87
Bulgaria,Upper secondary or post-secondary non-tertiary education,53.09283829,1.72
Bulgaria,Tertiary education,33.77812576,1.72
Bulgaria,Below upper secondary education,13.12903595,1.72
Sweden,Below upper secondary education,11.6895113,1.43
Sweden,Tertiary education,51.82631302,1.43
Sweden,Upper secondary or post-secondary non-tertiary education,36.48417664,1.43
India,Upper secondary or post-secondary non-tertiary education,10.52511024,1.962
India,Below upper secondary education,75.22858429,1.962
India,Tertiary education,14.24630547,1.962
Lithuania,Tertiary education,47.69621658,1.11
Lithuania,Below upper secondary education,7.046563148,1.11
Lithuania,Upper secondary or post-secondary non-tertiary education,45.25722122,1.11
Indonesia,Below upper secondary education,57.26337814,2.115
Indonesia,Tertiary education,13.05759525,2.115
Indonesia,Upper secondary or post-secondary non-tertiary education,29.67902946,2.115
Poland,Below upper secondary education,5.191302776,1.14
Poland,Tertiary education,39.45318604,1.14
Poland,Upper secondary or post-secondary non-tertiary education,55.35551071,1.14
France,Tertiary education,43.35744095,1.61
France,Below upper secondary education,16.05910683,1.61
France,Upper secondary or post-secondary non-tertiary education,40.58345032,1.61
Ireland,Below upper secondary education,10.73013783,1.47
Ireland,Tertiary education,57.54948807,1.47
Ireland,Upper secondary or post-secondary non-tertiary education,31.72037506,1.47
Japan,Tertiary education,57.01610184,1.15
Mexico,Tertiary education,21.87430954,1.892
Mexico,Below upper secondary education,54.43732452,1.892
Mexico,Upper secondary or post-secondary non-tertiary education,23.68836594,1.892
Colombia,Below upper secondary education,32.65184784,1.634
Colombia,Upper secondary or post-secondary non-tertiary education,36.7878418,1.634
Colombia,Tertiary education,30.56031036,1.634
Denmark,Upper secondary or post-secondary non-tertiary education,38.74941254,1.47
Denmark,Tertiary education,45.05239105,1.47
Denmark,Below upper secondary education,16.19819641,1.47
Croatia,Below upper secondary education,9.675270081,1.46
Croatia,Upper secondary or post-secondary non-tertiary education,59.89646912,1.46
Croatia,Tertiary education,30.42826271,1.46
Australia,Tertiary education,53.09037018,1.481
Australia,Upper secondary or post-secondary non-tertiary education,33.90245438,1.481
Australia,Below upper secondary education,13.00717735,1.481
Norway,Tertiary education,50.44035339,1.45
Norway,Below upper secondary education,17.09367561,1.45
Norway,Upper secondary or post-secondary non-tertiary education,32.4659729,1.45
United Kingdom,Upper secondary or post-secondary non-tertiary education,29.0436039,1.551
United Kingdom,Tertiary education,53.8429718,1.551
United Kingdom,Below upper secondary education,17.11342239,1.551
Czechia,Upper secondary or post-secondary non-tertiary education,66.78089142,1.36
Czechia,Below upper secondary education,5.725558281,1.36
Czechia,Tertiary education,27.49355125,1.36
Portugal,Tertiary education,31.4044838,1.41
Portugal,Upper secondary or post-secondary non-tertiary education,30.11633301,1.41
Portugal,Below upper secondary education,38.4791832,1.41
Brazil,Below upper secondary education,39.88211441,1.614
Brazil,Tertiary education,21.53577805,1.614
Brazil,Upper secondary or post-secondary non-tertiary education,38.58210754,1.614
Netherlands,Tertiary education,45.09827805,1.43
Netherlands,Below upper secondary education,18.32732391,1.43
Netherlands,Upper secondary or post-secondary non-tertiary education,36.57439804,1.43
Spain,Tertiary education,42.25973892,1.1
Spain,Upper secondary or post-secondary non-tertiary education,23.02160835,1.1
Spain,Below upper secondary education,34.71865082,1.1
Italy,Upper secondary or post-secondary non-tertiary education,44.39754105,1.18
Italy,Tertiary education,22.31502724,1.18
Italy,Below upper secondary education,33.28743362,1.18
