country,year,china_debt_usd
PAK,1970,49132800.0
PAK,1971,5662567.4
PAK,1972,17234550.9
PAK,1973,48222405.0
PAK,1974,67886457.3
PAK,1975,72163540.2
PAK,1976,93035283.0
PAK,1977,102195395.5
PAK,1978,127130887.7
PAK,1979,137463285.4
PAK,1980,149430945.3
PAK,1981,142538092.9
PAK,1982,183526646.8
PAK,1983,180689717.9
PAK,1984,143266648.8
PAK,1985,151726191.1
PAK,1986,148616183.2
PAK,1987,144943981.1
PAK,1988,141221659.6
PAK,1989,179186617.6
PAK,1990,228017067.9
PAK,1991,240547711.4
PAK,1992,237815723.9
PAK,1993,299517691.3
PAK,1994,352285020.8
PAK,1995,332463444.9
PAK,1996,365282453.5
PAK,1997,342073745.4
PAK,1998,327491543.5
PAK,1999,353549527.1
PAK,2000,417665249.1
PAK,2001,86090638.9
PAK,2002,117164805.0
PAK,2003,250017604.9
PAK,2004,410498815.7
PAK,2005,482783601.2
PAK,2006,826462848.9
PAK,2007,936205895.2
PAK,2008,955735533.5
PAK,2009,1827189897.0
PAK,2010,1995260815.9
PAK,2011,2430594390.2
PAK,2012,3113994324.6
PAK,2013,4027851596.9
PAK,2014,4933311924.6
PAK,2015,5785012482.9
PAK,2016,7479295811.5
PAK,2017,10118822134.2
PAK,2018,16802518336.6
PAK,2019,20322532271.3
PAK,2020,22507234178.8
PAK,2021,24317695703.5
PAK,2022,22725837817.0
PAK,2023,22623944059.6
PAK,2024,22384919561.7
PAK,2025,
PAK,2026,
PAK,2027,
PAK,2028,
PAK,2029,
PAK,2030,
PAK,2031,
PAK,2032,
AGO,1970,
AGO,1971,
AGO,1972,
AGO,1973,
AGO,1974,
AGO,1975,
AGO,1976,
AGO,1977,
AGO,1978,
AGO,1979,
AGO,1980,
AGO,1981,
AGO,1982,
AGO,1983,
AGO,1984,
AGO,1985,
AGO,1986,
AGO,1987,
AGO,1988,
AGO,1989,13238000.0
AGO,1990,23597000.0
AGO,1991,23597000.0
AGO,1992,23597000.0
AGO,1993,23598000.0
AGO,1994,23596000.0
AGO,1995,23598000.0
AGO,1996,23598000.0
AGO,1997,23598000.0
AGO,1998,61701000.0
AGO,1999,61701000.0
AGO,2000,61701000.0
AGO,2001,61701000.0
AGO,2002,54101000.0
AGO,2003,54101000.0
AGO,2004,81011000.0
AGO,2005,182010000.0
AGO,2006,556493000.0
AGO,2007,1074852000.0
AGO,2008,1438256000.0
AGO,2009,1573891000.0
AGO,2010,1559148000.0
AGO,2011,1463243000.0
AGO,2012,1600053000.0
AGO,2013,2124269000.0
AGO,2014,2292521000.0
AGO,2015,2581684000.0
AGO,2016,3304503000.0
AGO,2017,3503446000.0
AGO,2018,5023633000.0
AGO,2019,4577959000.0
AGO,2020,4625869000.0
AGO,2021,4569259000.0
AGO,2022,4039806000.0
AGO,2023,3250803000.0
AGO,2024,2596005403.6
AGO,2025,
AGO,2026,
AGO,2027,
AGO,2028,
AGO,2029,
AGO,2030,
AGO,2031,
AGO,2032,
LKA,1970,13844064.0
LKA,1971,40855261.2
LKA,1972,41398538.2
LKA,1973,47277058.0
LKA,1974,59319470.7
LKA,1975,50272539.8
LKA,1976,51068249.1
LKA,1977,34174921.3
LKA,1978,35873345.8
LKA,1979,31350921.3
LKA,1980,29061718.5
LKA,1981,38197055.1
LKA,1982,37828578.5
LKA,1983,34879303.7
LKA,1984,24764306.3
LKA,1985,22660368.2
LKA,1986,33344902.4
LKA,1987,40316675.9
LKA,1988,42911979.9
LKA,1989,35812212.9
LKA,1990,23453394.0
LKA,1991,23053251.9
LKA,1992,20229838.7
LKA,1993,18454827.9
LKA,1994,11569459.5
LKA,1995,13270134.8
LKA,1996,12151072.4
LKA,1997,14002757.9
LKA,1998,24686360.9
LKA,1999,27584265.2
LKA,2000,27190546.8
LKA,2001,39324219.2
LKA,2002,70084282.6
LKA,2003,88122246.3
LKA,2004,99449151.6
LKA,2005,99698796.1
LKA,2006,103154256.6
LKA,2007,271623707.3
LKA,2008,313267189.9
LKA,2009,602965075.2
LKA,2010,1443092440.3
LKA,2011,1875693551.9
LKA,2012,2716626375.7
LKA,2013,3632304459.2
LKA,2014,4294676338.8
LKA,2015,4520771040.5
LKA,2016,4678353555.6
LKA,2017,5070095989.3
LKA,2018,5060894951.6
LKA,2019,5371582375.8
LKA,2020,5319124923.4
LKA,2021,6544854088.4
LKA,2022,6078149721.4
LKA,2023,6026994140.8
LKA,2024,8687353759.7
LKA,2025,
LKA,2026,
LKA,2027,
LKA,2028,
LKA,2029,
LKA,2030,
LKA,2031,
LKA,2032,
ETH,1970,
ETH,1971,
ETH,1972,
ETH,1973,
ETH,1974,0.0
ETH,1975,253776.4
ETH,1976,4439716.9
ETH,1977,9259462.6
ETH,1978,16101057.2
ETH,1979,20296756.6
ETH,1980,24974969.9
ETH,1981,22838085.6
ETH,1982,22829789.5
ETH,1983,23986522.3
ETH,1984,17258542.6
ETH,1985,19320409.4
ETH,1986,27088115.5
ETH,1987,30645704.3
ETH,1988,31581580.5
ETH,1989,47568328.2
ETH,1990,67098394.5
ETH,1991,71104872.0
ETH,1992,70248188.4
ETH,1993,70005931.5
ETH,1994,60961583.1
ETH,1995,61268452.6
ETH,1996,61314032.3
ETH,1997,61380611.1
ETH,1998,61383171.5
ETH,1999,61597528.2
ETH,2000,61602728.9
ETH,2001,46343761.9
ETH,2002,34302255.7
ETH,2003,28125000.0
ETH,2004,42640757.9
ETH,2005,42434434.6
ETH,2006,14788633.1
ETH,2007,23467267.2
ETH,2008,25572674.3
ETH,2009,274125771.2
ETH,2010,549113611.9
ETH,2011,847896609.2
ETH,2012,1369954605.4
ETH,2013,1870069210.2
ETH,2014,3598547393.6
ETH,2015,4710451099.5
ETH,2016,5588815719.3
ETH,2017,6289312507.3
ETH,2018,6479424670.3
ETH,2019,6422613141.0
ETH,2020,6281523227.5
ETH,2021,6012892485.0
ETH,2022,5649395796.2
ETH,2023,5491351640.0
ETH,2024,6041153598.4
ETH,2025,
ETH,2026,
ETH,2027,
ETH,2028,
ETH,2029,
ETH,2030,
ETH,2031,
ETH,2032,
KEN,1970,
KEN,1971,
KEN,1972,
KEN,1973,
KEN,1974,
KEN,1975,
KEN,1976,
KEN,1977,
KEN,1978,
KEN,1979,
KEN,1980,0.0
KEN,1981,0.0
KEN,1982,0.0
KEN,1983,9908607.0
KEN,1984,23075297.3
KEN,1985,21864500.0
KEN,1986,20686784.0
KEN,1987,21762402.3
KEN,1988,21762402.3
KEN,1989,18000450.0
KEN,1990,23670547.9
KEN,1991,24842659.5
KEN,1992,24774850.2
KEN,1993,26939655.7
KEN,1994,18351442.2
KEN,1995,18936209.2
KEN,1996,18980025.4
KEN,1997,19022204.4
KEN,1998,19024723.9
KEN,1999,19022881.5
KEN,2000,8758790.3
KEN,2001,8135390.5
KEN,2002,8500718.9
KEN,2003,8618048.3
KEN,2004,11940433.7
KEN,2005,23369680.9
KEN,2006,37059177.6
KEN,2007,44829970.1
KEN,2008,60948555.9
KEN,2009,171320289.7
KEN,2010,275047220.9
KEN,2011,476131696.4
KEN,2012,706628403.6
KEN,2013,932723956.3
KEN,2014,2229563974.5
KEN,2015,3126497471.9
KEN,2016,4322575534.9
KEN,2017,5820287673.1
KEN,2018,6879189036.4
KEN,2019,7470811738.1
KEN,2020,7257655459.2
KEN,2021,7368022750.3
KEN,2022,6685750502.6
KEN,2023,6005055603.5
KEN,2024,5367181239.9
KEN,2025,
KEN,2026,
KEN,2027,
KEN,2028,
KEN,2029,
KEN,2030,
KEN,2031,
KEN,2032,
KHM,1970,
KHM,1971,
KHM,1972,
KHM,1973,
KHM,1974,
KHM,1975,
KHM,1976,
KHM,1977,
KHM,1978,
KHM,1979,
KHM,1980,
KHM,1981,
KHM,1982,
KHM,1983,
KHM,1984,
KHM,1985,
KHM,1986,
KHM,1987,
KHM,1988,
KHM,1989,
KHM,1990,
KHM,1991,
KHM,1992,
KHM,1993,
KHM,1994,7779000.0
KHM,1995,9855000.0
KHM,1996,8135000.0
KHM,1997,7145000.0
KHM,1998,6153000.0
KHM,1999,5041000.0
KHM,2000,5041000.0
KHM,2001,11081982.0
KHM,2002,13910778.3
KHM,2003,13739427.1
KHM,2004,36289060.2
KHM,2005,38726266.0
KHM,2006,81553386.9
KHM,2007,106184877.4
KHM,2008,236754453.0
KHM,2009,301114855.6
KHM,2010,525644728.1
KHM,2011,796733781.5
KHM,2012,1507228854.3
KHM,2013,1919558669.4
KHM,2014,2374763255.8
KHM,2015,2683404652.7
KHM,2016,2797739278.3
KHM,2017,3137591836.2
KHM,2018,3424944027.0
KHM,2019,3608595874.1
KHM,2020,3901533267.3
KHM,2021,4053341999.8
KHM,2022,4007970945.9
KHM,2023,4060355637.5
KHM,2024,4067674232.1
KHM,2025,
KHM,2026,
KHM,2027,
KHM,2028,
KHM,2029,
KHM,2030,
KHM,2031,
KHM,2032,
LAO,1970,
LAO,1971,
LAO,1972,
LAO,1973,
LAO,1974,
LAO,1975,
LAO,1976,
LAO,1977,
LAO,1978,
LAO,1979,
LAO,1980,
LAO,1981,
LAO,1982,
LAO,1983,
LAO,1984,
LAO,1985,
LAO,1986,
LAO,1987,
LAO,1988,
LAO,1989,
LAO,1990,
LAO,1991,2000000.0
LAO,1992,2000000.0
LAO,1993,2000000.0
LAO,1994,2000000.0
LAO,1995,2000000.0
LAO,1996,2000000.0
LAO,1997,2000000.0
LAO,1998,2000000.0
LAO,1999,2000000.0
LAO,2000,2000000.0
LAO,2001,11598571.2
LAO,2002,11530987.4
LAO,2003,33532637.5
LAO,2004,70566789.8
LAO,2005,111034398.5
LAO,2006,147388678.4
LAO,2007,252198428.4
LAO,2008,349473742.8
LAO,2009,455735325.3
LAO,2010,567227474.3
LAO,2011,1066523996.5
LAO,2012,1413203510.1
LAO,2013,1945712458.7
LAO,2014,2425017121.9
LAO,2015,2841638357.1
LAO,2016,3138289112.3
LAO,2017,3554427158.5
LAO,2018,4345104090.8
LAO,2019,4540756669.1
LAO,2020,4850599832.4
LAO,2021,5003846873.8
LAO,2022,5330922697.4
LAO,2023,5260938130.1
LAO,2024,5239809936.3
LAO,2025,
LAO,2026,
LAO,2027,
LAO,2028,
LAO,2029,
LAO,2030,
LAO,2031,
LAO,2032,
ZMB,1970,14420861.2
ZMB,1971,25997440.0
ZMB,1972,59551094.0
ZMB,1973,118329750.0
ZMB,1974,193525052.8
ZMB,1975,217977182.3
ZMB,1976,265934746.4
ZMB,1977,289141536.0
ZMB,1978,329457167.0
ZMB,1979,334364304.0
ZMB,1980,327312290.0
ZMB,1981,286611088.0
ZMB,1982,260444166.5
ZMB,1983,262808057.6
ZMB,1984,201955881.4
ZMB,1985,200313583.8
ZMB,1986,178577002.8
ZMB,1987,186748077.4
ZMB,1988,186976083.4
ZMB,1989,168784326.8
ZMB,1990,163444626.2
ZMB,1991,157434892.8
ZMB,1992,143483209.0
ZMB,1993,145363670.0
ZMB,1994,166618227.3
ZMB,1995,162924669.2
ZMB,1996,163586450.2
ZMB,1997,166474173.9
ZMB,1998,166579069.6
ZMB,1999,127590425.7
ZMB,2000,120964251.0
ZMB,2001,207932258.3
ZMB,2002,208082513.4
ZMB,2003,206391086.4
ZMB,2004,173999516.5
ZMB,2005,171896152.0
ZMB,2006,162372391.6
ZMB,2007,222120659.2
ZMB,2008,213498622.8
ZMB,2009,208109887.9
ZMB,2010,314920821.2
ZMB,2011,875594883.0
ZMB,2012,1206265773.1
ZMB,2013,1252493877.8
ZMB,2014,1596116873.8
ZMB,2015,1922626460.9
ZMB,2016,2321701762.1
ZMB,2017,2601898066.2
ZMB,2018,2877733663.8
ZMB,2019,3438609476.0
ZMB,2020,3744972221.9
ZMB,2021,3781871592.7
ZMB,2022,3688866229.6
ZMB,2023,3592790068.7
ZMB,2024,3570963883.3
ZMB,2025,
ZMB,2026,
ZMB,2027,
ZMB,2028,
ZMB,2029,
ZMB,2030,
ZMB,2031,
ZMB,2032,
MMR,1970,22848000.0
MMR,1971,26487769.4
MMR,1972,37386448.2
MMR,1973,42284563.2
MMR,1974,48487131.0
MMR,1975,49464457.5
MMR,1976,43286924.8
MMR,1977,53364188.0
MMR,1978,59861093.5
MMR,1979,60615120.0
MMR,1980,62715960.0
MMR,1981,47888892.0
MMR,1982,50265566.5
MMR,1983,51930299.8
MMR,1984,41243982.3
MMR,1985,54961291.7
MMR,1986,58832378.4
MMR,1987,92138318.7
MMR,1988,90278318.7
MMR,1989,99169169.2
MMR,1990,98176705.1
MMR,1991,94829492.6
MMR,1992,82697320.7
MMR,1993,90138434.9
MMR,1994,90712738.2
MMR,1995,94700504.4
MMR,1996,104978417.4
MMR,1997,119668558.8
MMR,1998,118155124.8
MMR,1999,127845430.1
MMR,2000,88166990.7
MMR,2001,92805157.8
MMR,2002,95887757.9
MMR,2003,98902654.7
MMR,2004,108214467.7
MMR,2005,170164253.0
MMR,2006,270922048.5
MMR,2007,399121368.4
MMR,2008,518643809.9
MMR,2009,607838469.6
MMR,2010,728462652.1
MMR,2011,899484099.8
MMR,2012,1003534715.0
MMR,2013,1135605049.7
MMR,2014,1323337482.0
MMR,2015,1650756650.1
MMR,2016,1582855760.1
MMR,2017,1462252201.0
MMR,2018,1273808874.3
MMR,2019,1163479369.7
MMR,2020,1096802919.1
MMR,2021,1002890953.3
MMR,2022,782669424.2
MMR,2023,620159644.6
MMR,2024,470988867.7
MMR,2025,
MMR,2026,
MMR,2027,
MMR,2028,
MMR,2029,
MMR,2030,
MMR,2031,
MMR,2032,
BGD,1970,
BGD,1971,
BGD,1972,
BGD,1973,
BGD,1974,
BGD,1975,
BGD,1976,
BGD,1977,1300000.0
BGD,1978,1300000.0
BGD,1979,5538739.1
BGD,1980,9182155.1
BGD,1981,11757053.8
BGD,1982,40437254.9
BGD,1983,63910212.0
BGD,1984,50434290.0
BGD,1985,45653076.0
BGD,1986,39376275.2
BGD,1987,43996580.4
BGD,1988,47891148.2
BGD,1989,38854077.2
BGD,1990,35133940.9
BGD,1991,33762646.3
BGD,1992,31898358.5
BGD,1993,31905345.4
BGD,1994,21984435.8
BGD,1995,27805689.1
BGD,1996,32955194.7
BGD,1997,30256239.1
BGD,1998,24809407.6
BGD,1999,22164336.6
BGD,2000,34178719.3
BGD,2001,42274526.3
BGD,2002,66281812.8
BGD,2003,62574643.2
BGD,2004,59823143.7
BGD,2005,58307514.1
BGD,2006,54832241.5
BGD,2007,40933470.4
BGD,2008,60016143.7
BGD,2009,49639115.9
BGD,2010,11457786.6
BGD,2011,50257106.2
BGD,2012,235301883.0
BGD,2013,502705537.7
BGD,2014,888201846.9
BGD,2015,919400207.8
BGD,2016,974528893.2
BGD,2017,1356992646.5
BGD,2018,3099125133.7
BGD,2019,3599642567.1
BGD,2020,4571652948.5
BGD,2021,5260355930.8
BGD,2022,6053261612.8
BGD,2023,6729047937.8
BGD,2024,6629628481.1
BGD,2025,
BGD,2026,
BGD,2027,
BGD,2028,
BGD,2029,
BGD,2030,
BGD,2031,
BGD,2032,
NGA,1970,
NGA,1971,
NGA,1972,
NGA,1973,
NGA,1974,
NGA,1975,
NGA,1976,
NGA,1977,
NGA,1978,
NGA,1979,
NGA,1980,
NGA,1981,
NGA,1982,
NGA,1983,
NGA,1984,
NGA,1985,
NGA,1986,
NGA,1987,
NGA,1988,
NGA,1989,
NGA,1990,
NGA,1991,
NGA,1992,
NGA,1993,
NGA,1994,
NGA,1995,
NGA,1996,
NGA,1997,
NGA,1998,
NGA,1999,
NGA,2000,
NGA,2001,
NGA,2002,0.0
NGA,2003,30169018.0
NGA,2004,82576120.6
NGA,2005,134346481.8
NGA,2006,443841827.0
NGA,2007,581242606.7
NGA,2008,762830000.1
NGA,2009,611982000.0
NGA,2010,379820000.0
NGA,2011,636822000.0
NGA,2012,802958000.0
NGA,2013,987606301.0
NGA,2014,1293131000.0
NGA,2015,1444725000.0
NGA,2016,1642044000.0
NGA,2017,1930983000.0
NGA,2018,2485077000.0
NGA,2019,3175120000.0
NGA,2020,3403988802.3
NGA,2021,3634626542.9
NGA,2022,4291730985.4
NGA,2023,5164932943.4
NGA,2024,5319396325.1
NGA,2025,
NGA,2026,
NGA,2027,
NGA,2028,
NGA,2029,
NGA,2030,
NGA,2031,
NGA,2032,
MNG,1970,
MNG,1971,
MNG,1972,
MNG,1973,
MNG,1974,
MNG,1975,
MNG,1976,
MNG,1977,
MNG,1978,
MNG,1979,
MNG,1980,
MNG,1981,
MNG,1982,
MNG,1983,
MNG,1984,
MNG,1985,
MNG,1986,
MNG,1987,
MNG,1988,
MNG,1989,
MNG,1990,
MNG,1991,
MNG,1992,4519975.8
MNG,1993,6543276.0
MNG,1994,6641919.8
MNG,1995,8975282.3
MNG,1996,10798730.6
MNG,1997,12852367.5
MNG,1998,14943044.8
MNG,1999,14941597.7
MNG,2000,14945395.6
MNG,2001,14946476.9
MNG,2002,14993898.9
MNG,2003,14994985.9
MNG,2004,14995348.2
MNG,2005,15378677.1
MNG,2006,15893682.7
MNG,2007,18966501.6
MNG,2008,20333690.4
MNG,2009,20404644.9
MNG,2010,17851092.5
MNG,2011,19697027.4
MNG,2012,470506415.4
MNG,2013,1449453735.9
MNG,2014,2029913725.9
MNG,2015,2429566847.7
MNG,2016,2544046479.5
MNG,2017,2589525148.7
MNG,2018,2832047117.5
MNG,2019,2863608547.0
MNG,2020,2954993000.0
MNG,2021,3100819000.0
MNG,2022,3017299000.0
MNG,2023,2744707000.0
MNG,2024,2120931000.0
MNG,2025,
MNG,2026,
MNG,2027,
MNG,2028,
MNG,2029,
MNG,2030,
MNG,2031,
MNG,2032,
